a	c
ecaudate	i:'kɔ:deit
eccentric	ik'sentrik
eccentricity	,eksen'trisiti
ecchymosis	,eki'mousis
ecclesia	i'kli:zjə
ecclesiast	i'kli:ziæst
ecclesiastic	i,kli:zi'ætik
ecclesiastical	i,kli:zi'ætik
ecclesiology	i,kli:zi'ɔlədʤi
ecdysiast	'ekdisiəst
ecdysis	'ekdisis
echelon	'eʃəlɔn
echidna	e'kidnə
echini	e'kainəs
echinus	e'kainəs
echo	'ekou
echoic	e'kouik
echoism	'ekouzim
eclampsia	i'klæmpsiə
eclectic	ek'lektik
eclecticism	ek'lektisizm
eclipse	i'klips
ecliptic	i'kliptik
eclogue	'eklɔg
ecologic	,ekə'lɔdʤik
ecological	,ekə'lɔdʤik
ecologist	i'kɔlədʤist
ecology	i'kɔlədʤi
economic	,i:kə'nɔmik
economical	,i:kə'nɔmikəl
economics	,i:kə'nɔmiks
economise	i:'kɔnəmaiz
economist	i:'kɔnəmist
economization	i:,kɔnəmai'zeiʃn
economize	i:'kɔnəmaiz
economizer	i:'kɔnəmaizə
economy	i:'kɔnəmi
ecru	e'kru:
ecstaseid	'ekstəsid
ecstasise	'ekstəsaiz
ecstasize	'ekstəsaiz
ecstasy	'ekstəsi
ecstatic	eks'tætik
ect	it'setrə
ectoblast	'ektoublæst
ectoblastic	,estou'blæstik
ectoderm	'ektoudə:m
ectoplasm	'ektouplæzm
ecumenical	,i:kju:'menikəl
eczema	'eksimə
edacious	i'deiʃəs
edacity	di'dæsiti
edam	'i:dæm
edaphalogy	,edə'fɔlədʤi
eddish	'ediʃ
eddy	'edi
edelweiss	'eidlvais
eden	'i:dn
edentate	i'dentit
edge	edʤ
edged	edʤ
edgeless	'edʤlis
edgeways	'edʤweiz
edgewise	'edʤweiz
edging	'edʤiɳ
edgy	'edʤi
edibility	,edi'biliti
edible	'edibl
edict	'i:dikt
edictal	i'diktəl
edification	,edifi'keiʃn
edifice	'edifis
edify	'edifai
edit	'edit
edition	i'diʃn
editor	'editə
editorial	,edi'tɔ:riəl
editorialist	,edi'tɔ:riəlist
editorialize	,edi'tɔ:riəlaiz
editorially	,edi'tɔ:riəli
editorship	'editəʃip
editress	'editris
educability	edjuk:kə'biliti
educable	'edjukəbl
educate	'edju:keit
education	,edju:'keiʃn
educational	,edju:'keiʃənl
educationalist	,edju:'keiʃənlist
educative	'edju:kətiv
educator	'edju:keitə
educe	i:'dju:s
educible	i:'djusəbl
educt	'i:dʌkt
eduction	i:'dʌkʃn
edulcorate	i'dʌlkəreit
edulcoration	i,dʌlkə'reiʃn
edwardian	ed'wɔ:djən
eel	i:l
eerie	'iəri
eeriness	'iərinis
eery	'iəri
efface	i'feis
effaceable	i'feisəbl
effacement	i'feismənt
effect	i'fekt
effective	'ifektiv
effectively	i'fektivli
effectiveness	i'fektivnis
effectless	i'fektlis
effectual	i'fektjuəl
effectualness	i'fektjuəlnis
effectuate	i'fektjueit
effectuation	i,fektju'eiʃn
effeminacy	i'feminəsi
effeminate	i'feminit
efferent	'efərənt
effervesce	,efe'ves
effervescence	,efə'vesns
effervescency	,efə'vesns
effervescent	,efə'vesnt
effete	e'fi:t
effeteness	e'fi:tnis
efficacious	,efi'keiʃəs
efficaciousness	,efi'keiʃəsnis
efficacy	,efi'keiʃəsnis
efficiency	i'fiʃəni
efficient	i'fiʃənt
effigy	'efidʤi
effluence	'efluəns
effluent	'efluənt
efflugent	e'fʌldʤent
effluvia	e'flu:vjəm
effluvium	e'flu:vjəm
efflux	'eflʌks
effluxion	e'flʌkʃn
efforesce	,eflɔ:'res
efforescence	,eflɔ:'resns
efforescent	,eflɔ:'resnt
effort	'efət
effortless	'efətlis
effrontery	e'frʌntəri
effulgence	e'fʌldʤəns
effusion	i'fju:ʤn
effusive	i'fju:siv
effusiveness	i'fju:sivnis
eft	eft
egad	i'gæd
egalitarian	i,gæli'teəriən
egalitarianism	i,gæli'teəriənizm
egg	eg
eglantine	'egləntain
ego	'egou
egocentric	,egou'sentrik
egocentrism	,egou'sentrizm
egoism	'egouizm
egoist	'egouist
egoistic	,egou'istik
egoistical	,egou'istik
egotism	'egoutizm
egotist	'egoutist
egotistic	,egou'tistik
egotistical	,egou'tistik
egotize	'egoutaiz
egregious	i'gri:dʤəs
egregiousness	i'gri:dʤəsnis
egress	'i:gres
egression	i:'greʃn
egret	'i:gret
egyptian	i'dʤipʃn
egyptologist	,i:dʤip'tɔlədʤist
egyptology	,i:dʤip'tɔlədʤi
eh	ei
eider	'aidə
eidograph	'aidougrɑ:f
eidola	ai'doulɔn
eidolon	ai'doulɔn
eight	eit
eighteen	'ei'ti:
eighteeth	'ei'ti:nθ
eighth	eitθ
eighthly	'eitθli
eightieth	'eitiiθ
eightsome	'eistsəm
eighty	'eiti
eirenicon	ai'ri:nikɔn
eistedfod	ais'teðvɔd
ejaculate	i'dʤækjuleit
ejaculation	i'dʤækjuleiʃn
ejaculatory	'dʤækjulətəri
eject	'i:dʤekt
ejecta	i:'dʤektə
ejection	i:'dʤekʃn
ejective	i:'dʤektiv
ejectment	i:'dʤektmənt
ejector	i:'dʤektə
eke	i:k
ekka	'ekɔ
el	el
elaborate	i'læbərit
elaborately	i'læbərili
elaborateness	i'læbəritnis
elaboration	i,læbə'reiʃn
elaborative	i'læbərətiv
elaeometer	,eli:'ɔmitə
eland	'i:lənd
elapse	i'læps
elastic	i'læstik
elasticity	,elæs'tisiti
elate	i'leit
elated	i'leitid
elation	i'leiʃn
elbow	elbou
elchee	'eltʃi
eld	eld
elder	'eldə
elderly	'eldəli
eldest	'eldist
eldritch	'eldritʃ
elecampane	,elikæm'pein
elect	i'lekt
election	i'lekʃn
electioneer	i,lekʃə'niə
elective	i'lektiv
elector	i'lektə
electoral	i'lektərəl
electorate	i'lektərit
electorship	i'lektəʃip
electress	i'lektris
electric	i'lektrik
electrical	i'lektrikəl
electrician	ilek'triʃn
electricity	ilek'trisiti
electrification	i'lektrifi'keiʃn
electrify	i'lektrifai
electrise	i'lektrifai
electrization	i,lektri'zeiʃn
electrize	i'lektrifai
electro	i'lektrou
electrocute	i'lektrəkju:t
electrocution	i,lektrə'kju:ʃn
electrode	i'lektroud
electrodeposit	i'lektroudi'pɔzit
electrodeposition	i'lektrou,dipɔ'ziʃn
electrodynamics	i'lektroudai'næmiks
electrodynamometer	i'lektrou,dainə'mɔmitə
electrograph	i'lektroukai'netiks
electrolier	i,lektroulaiz
electrology	ilek'trɔlədʤi
electrolysable	ilek'troulaizəbl
electrolyse	i'lektroulaiz
electrolyser	i'lektroulaizə
electrolysis	ilek'trɔlisis
electrolyte	i'lektroulait
electrolytic	i'lektrou'litik
electrolyze	i'lektroulaiz
electromagnet	i'lektrou'mægnit
electromagnetic	i'lektroumæg'neik
electromagnetism	i'lektrou'mægnitizm
electromechanics	i,lektroumi'kæniks
electrometallurgy	i,lektroume'tælə:dʤi
electrometer	ilek'trɔmitə
electrometric	i,lektrou'metrik
electrometry	ilek'trɔmitri
electromotive	i'lektroumoutiv
electromotor	i'lektrou'moutə
electron	i'lektrɔn
electronegative	i'lektrou'negətiv
electronic	ilek'trɔnik
electronics	ilek'trɔniks
electropathy	ilek'trɔpəθi
electrophore	ilek'trɔfɔ:
electrophoresis	i,lektrɔ'fɔ:ri:sis
electrophorus	ilek'trɔfɔ:
electroplate	i'lektroupleit
electropositive	i'lektrou'pɔzətiv
electroscope	i'lektrəskoup
electroscopic	i,lektrous'kɔpik
electroshock	i,lektrous'ʃɔk
electrostatics	i'lektrou'stætiks
electrosurgery	i'lektrou'sə:dʤəri
electrotherapeutics	i'lektrouθerə'pju:tiks
electrotherapy	i'lektrou'θerəpi
electrotype	i'lektroutaip
electrum	i'lektrəm
electuary	i'lektjuəri
eleemosynary	,elii':mɔsinəri
elegance	'eligəns
elegant	'eligənt
elegiac	,eli'dʤaiək
elegiacs	,eli'dʤaiəks
elegise	'elidʤaiz
elegist	'elidʤist
elegize	'elidʤaiz
elegy	'elidʤi
element	'elimənt
elemental	,eli'mentl
elementariness	,eli'mentərinis
elementary	,eli'mentəri
elemi	'elemi
elenchi	i'leɳkəs
elenchus	i'leɳkəs
elenctic	i'leɳktik
elephant	'elifənt
elephantiasis	,elifən'taiəsis
elephantine	,eli'fæntain
eleutheromania	i'lju:θərə'meinjə
eleutheropetalous	i'lju:θərə'petələs
eleutherophylous	i'lju:θərə'filəs
elevate	'eliveit
elevated	'eliveitid
elevation	,eli'veiʃn
elevator	'eliveitə
eleven	i'levn
elevens	i'levnz
elevenses	i'levnz
eleventh	i'levnθ
elf	elf
elfin	'elfin
elfish	'elfiʃ
elicit	i'lisit
elide	i'laid
eligibility	,elidʤə'biliti
eligible	i'liminəbl
eliminable	i'liminəbl
eliminate	i'limineit
elimination	i,limi'neiʃn
eliminator	i'limineitə
eliminatory	i'liminətəri
elision	i'liʤn
elixir	i'liksə
elizabethan	i,lizə'bi:θən
elk	elk
ell	el
ellipse	i'lips
ellipses	i'lipsis
ellipsis	i'lipsis
ellipsoid	i'lipsɔid
elliptic	i'liptik
elliptical	i'liptikəl
elm	elm
elocution	,elə'kju:ʃn
elocutionary	,elə'kju:ʃnəri
elocutionist	,elə'kju:ʃnist
elongate	'i:lɔɳgit
elongation	,i:lɔɳ'geiʃn
elope	i'loup
elopement	i'loupmənt
eloper	i'loupə
eloquence	'eləkwəns
eloquent	'eləkwənt
else	els
elsewhere	'els'weə
elucidate	i'lu:sideit
elucidation	i,lu:si'deiʃn
elucidative	i'lu:sideitəri
elucidator	i'lu:sideitə
elucidatory	i'lu:sideitəri
elude	i'lu:d
elusion	i'lu:ʤn
elusive	i'lu:siv
elusiveness	i'lu:sivnis
elusory	i'lu:siv
elver	'elvə
elves	elf
elvish	'elfiʃ
elysium	i'liziəm
elytra	'elitrɔn
elytron	'elitrɔn
elzevir	'elziviə
em	em
emaciate	i'meiʃieit
emaciated	i'meiʃietid
emaciation	i,meisi'eiʃn
emanate	'eməneit
emanation	,emə'neiʃn
emancipate	i'mænsipeit
emancipation	i,mænsi'peiʃn
emancipationist	i,mænsi'peiʃənist
emancipator	i,mænsipeitiə
emancipatory	i'mænsipeitəri
emancipist	i'mænsipist
emasculate	i'mæskjulit
emasculated	i'mæskjuleitid
emasculative	i'mæskjuleitiv
emasculatoty	i'mæskjuleitiv
embalm	im'bɑ:m
embalmment	im'bɑ:mmənt
embank	em'bæɳk
embankment	em'bæɳkmənt
embargo	em'bɑ:gou
embark	em'bɑ:k
embarkation	em'bɑ:'keiʃn
embarkment	im'bɑ:kmənt
embarrass	im'bærəs
embarrassed	im'bærəst
embarrassiment	im'bærəsmənt
embarrassing	im'bærəsiɳ
embassy	'embəsi
embattle	im'bætl
embay	im'bei
embed	im'bed
embellish	im'beliʃ
embellishment	im'beliʃmənt
ember	'embə
embezzle	im'bezl
embezzlement	im'bezlmənt
embitter	im'bitə
embitterment	im'bitəmənt
emblazon	im'bleizən
emblazonment	em'bleizənmənt
emblazonry	'bleiznri
emblem	'embləm
emblematic	,embli'mætik
emblematical	,embli'mætik
emblematise	em'blemətaiz
emblematist	em'blemətist
emblematize	em'blemətaiz
emblement	'emblmənt
embodiment	im'bɔdimənt
embody	im'bɔdi
embog	im'bɔg
embolden	im'bouldn
embolism	'embəlizm
embolus	'embələs
embonpoint	,ʤmbʤ:m'pwe:ɳ
embosom	im'buzəm
embosomed	im'buzəmd
emboss	im'bɔs
embossment	im'bɔsmənt
embouchure	,ɔmbu'ʃuə
embow	im'bou
embowel	im'bauəl
embower	im'bauə
embrace	im'breis
embraceable	im'breisəbl
embracement	im'breismənt
embraceor	im'breisə
embracer	im'breisə
embracery	im'breisəri
embranchment	im'brɑ:ntʃmənt
embrangle	im'bræɳgl
embranglement	im'bræɳglmənt
embrasure	im'breiʤə
embrocate	'embroukeit
embrocation	,embrou'keiʃn
embroider	im'brɔidə
embroidering	im'brɔidəriɳ
embroidery	im'brɔidəri
embroil	im'brɔil
embroilment	im'brɔilmənt
embrown	im'braun
embryo	'embriou
embryoctony	,embri'ɔktəni
embryogenesis	,embriou'dʤenisis
embryology	,embri'ɔlədʤi
embryonic	,embri'ɔnik
embryotomy	,embri'ɔtəmi
embus	im'bʌs
emend	i:'mend
emendate	i:'mend
emendation	,i:men'deiʃn
emendator	'i:mendeitə
emendatory	'i:mendətəri
emerald	'emərəld
emerge	i'mə:dʤ
emergence	i'mə:dʤəns
emergency	i'mə:dʤensi
emergent	i'mə:dʤənt
emeritus	i:'meritəs
emerods	'hemərɔidz
emersion	i:'mə:ʃn
emery	'eməri
emetic	i'metik
emeu	'i:mju:
emigrant	'emigrənt
emigrate	ei'mə:t
emigration	,emi'greiʃn
emigratory	,emi'grətəri
eminence	'eminəns
eminent	'eminənt
emir	e'miə
emissary	'emisəri
emission	i'miʃn
emissive	i'misiv
emit	i'mit
emmenagogue	e'mi:nəgɔg
emmet	'emit
emmetrope	'emitroup
emmetropia	,emi'troupjə
emollient	i'mɔliənt
emolument	i'mɔljumənt
emotion	i'mouʃn
emotional	'imouʃənl
emotionalism	i'mouʃnəlizm
emotionalist	i'mouʃnəlist
emotionality	i,mouʃə'næliti
emotive	i'moutiv
empale	im'peil
empanel	im'peil
empathy	'empəθi
emperor	'empərə
emphases	'emfəsis
emphasis	'emfəsis
emphasise	'emfəsaiz
emphatic	im'fætik
emphatically	im'fætikəli
emphysema	,emfi'si:mə
emphysematous	'emfi'si:mətəs
empire	'empaiə
empiric	em'pirik
empirical	em'pirikəl
empiricism	em'pirisizm
empiricist	em'pirisist
emplace	im'pleis
emplacement	im'pleismənt
emplane	im'plein
employ	im'plɔi
employable	im'plɔiəbl
employee	ɔm'plɔiei
employer	im'plɔiə
employment	im'plɔimənt
employé	ɔm'plɔiei
empoison	im'pɔizn
emporium	em'pɔ:riəm
empower	im'pauə
empress	'empris
empressement	Ỵ:m'presmỴ:ɳ
emprise	im'praiz
emptiness	'emptinis
empty	'empti
emptying	'emptiiɳ
empurple	im'pə:pl
empyreal	,empai'ri:əl
empyrean	,empai'ri:ən
emu	'i:mju:
emulate	'emjuleit
emulation	,emju'leiʃn
emulative	'emjulətiv
emulator	'emjuleitə
emulous	'emjuləs
emulously	'emjuləsli
emulsification	i,mɔʌlsifi'keiʃn
emulsifier	i'mʌlsifaiə
emulsify	i'mʌlsifai
emulsion	i'mʌlʃn
emulsive	i'mʌlsiv
emulsoid	i'mʌlsɔid
emunctory	i'mʌɳktəri
en	en
enable	i'neibl
enact	i'nækt
enaction	i'nækʃn
enactive	i'næktiv
enactment	i'nækʃn
enactor	i'næktə
enamel	i'næməl
enamour	i'næmə
enantiomorph	e'næntioumɔ:f
enantipathy	,enænti'ɔpəθi
enarthrosis	enɑ:'θrousis
encaenia	en'si:njə
encage	in'keidʤ
encamp	in'kæmp
encampment	in'kæmpmənt
encase	in'keis
encasement	in'keismənt
encash	in'kæʃ
encashment	in'kæʃmənt
encaustic	en'kɔ:stik
enceinte	Ỵ:ɳ'se:nt
encephalic	,enke'fælik
encephalitis	,enkefə'laitis
encephalography	,enkefə'lɔgrəfi
encephalon	en'kefəlɔn
encephalotomy	en'kefə'lɔtəmi
enchain	in'tʃein
enchainment	in'tʃeinmənt
enchant	in'tʃɑ:nt
enchanter	in'tʃɑ:ntə
enchanting	in'tʃɑ:ntiɳ
enchantment	in'tʃɑ:ntmənt
enchantress	en'tʃɑ:ntris
encharm	in'tʃɑ:m
enchiridion	,enkaiə'ridiən
enchylema	,enki'li:mə
encircle	in'sə:kl
encirclement	in'sə:klmənt
enclasp	in'klɑ:sp
enclave	'enkleiv
enclitic	in'klitik
enclose	in'klouz
enclosure	in'klouʤə
enclothe	in'kouð
encloud	in'klaud
encode	in'koud
encomiast	en'koumiæst
encomiastic	en,koumi'æstik
encomium	en'koumiəm
encompass	in'kʌmpəs
encompassment	in'kʌmpəsmənt
encore	ɔɳ'kɔ:
encounter	in'kauntə
encourage	in'kʌridʤ
encouragement	in'kʌridʤmənt
encouraging	in'kʌridʤiɳ
encrimson	in'krimzn
encroach	in'kroutʃ
encroacher	in'kroutʃə
encroachment	in'kroutʃmənt
encrust	in'krʌst
encrusted	in'krʌstid
encrustment	in'krʌstmənt
encumber	in'kʌmbə
encumberment	in'kʌmbəmənt
encumbrance	in'kʌmbrəns
encyclic	en'siklik
encyclical	en'siklik
encyclopaedia	en,saiklou'pi:djə
encyclopaedic	en,saiklou'pi:dik
encyclopaedical	en,saiklou'pi:dik
encyclopaedist	en,saiklou'pi:dist
encyclopedia	en,saiklou'pi:djə
encyclopedic	en,saiklou'pi:dik
encyclopedical	en,saiklou'pi:dik
encyclopedism	en,saiklou'pi:dizm
encyclopedist	en,saiklou'pi:dist
encyst	en'sist
encystation	,ensis'teiʃn
encystment	,ensis'teiʃn
end	end
endamage	'dæmidʤ
endamager	in'dæmidʤ
endear	in'diə
endearingly	in'diəriɳli
endearment	in'diəmənt
endeavor	in'devə
endeavour	in'devə
endemic	en'demik
endemicity	,endi'misiti
endermic	en'də:mik
ending	'endiɳ
endive	'endiv
endless	'endlis
endlessness	'endlisnis
endlong	'endlɔɳ
endmost	'endmoust
endoblast	'endəblæst
endocardial	,endou'kɑ:diəl
endocarditis	,endoukɑ:'daitis
endocardium	,endoukɑ:'diəm
endocarp	'endoukɑ:p
endocrine	'endoukrain
endocrinology	,endoukrai'nɔlədʤi
endoderm	'endoudə:m
endogamous	en'dɔgəməs
endogamy	en'dɔgəmi
endogenous	en'dɔdʤinəs
endolymph	'endoulimf
endometritis	,endoumi'traitis
endometrium	,endə'mi:trjəm
endomorph	'endoumɔ:f
endomorphic	,endou'mɔ:fik
endoparasite	,endou'pærəsait
endoplasm	'endouplæzm
endopodite	en'dɔpədait
endopolyploid	,endou'pɔliplɔid
endorse	in'dɔ:s
endorsee	,endɔ:'si:
endorsement	in'dɔ:smənt
endorser	in'dɔ:sə
endoscope	'endouskoup
endoscopy	en'dɔskəpi
endoskeleton	endou'skelitn
endosmosis	,endɔz'mousis
endosperm	'endouspə:m
endospore	'endouspɔ:
endothelia	,endə'θi:ljəm
endothelial	,endə'θi:liəl
endothelium	,endə'θi:ljəm
endothermal	,endou'θə:məl
endothermic	,endou'θə:məl
endow	in'dau
endowment	in'daumənt
endue	in'dju:
endurable	in'djuərəbl
endurance	in'djuərəns
endure	in'djuə
enduring	in'djuəriɳ
enduringness	in'djuəriɳnis
endwaysa	'endweiz
endwise	'endweiz
enema	'enimə
enemy	'enimi
energetic	,enə'dʤetik
energetics	,enə'dʤetiks
energic	i'nə:dʤik
energise	'enədʤaiz
energize	'enədʤaiz
energumen	,enə:'gju:men
energy	'enədʤi
enervate	i'nə:vit
enervating	'enə:veitiɳ
enervation	,enə:'veiʃn
enface	in'feis
enfacement	in'feismənt
enfeeble	in'fi:bl
enfeeblement	in'fi:blmənt
enfeoff	in'fef
enfeoffment	in'fefmənt
enfetter	in'fetə
enfilade	,enfi'leid
enfold	in'fould
enforce	in'fɔ:s
enforcedly	in'fɔ:sidli
enforcement	in'fɔ:smənt
enframe	in'freim
enfranchise	in'fræntʃaiz
enfranchisement	in'fræntʃizmənt
engage	in'geidʤ
engaged	in'geidʤd
engagement	in'geidʤmənt
engaging	in'geidʤiɳ
engarland	in'gɑ:lənd
engender	in'dʤendə
engine	'endʤin
engineer	,endʤi'niə
engineering	,endʤi'niəriɳ
engineership	,endʤi'niəʃip
enginery	'endʤinəri
engird	in'gə:d
engirdle	in'gə:d
engirt	in'gə:d
englander	'iɳgləndə
english	'iɳgliʃ
englishism	'iɳgliʃizm
englishman	'iɳgliʃmən
engorge	in'gɔ:dʤ
engorgement	in'gɔ:dʤmənt
engraft	in'grɑ:ft
engrail	in'greil
engrain	in'grein
engrained	in'greind
engrave	in'greiv
engraver	in'greivə
engraving	in'greiviɳ
engross	in'grous
engrossing	in'grousiɳ
engrossment	in'grousmənt
engulf	in'gʌlf
engulfment	in'gʌlfmənt
enhance	in'hɑ:ns
enhancement	in'hɑ:nsmənt
enharmonic	,enhɑ:'mɔnik
enigma	i'nigmə
enigmatic	,enig'mætik
enigmatical	,enig'mætik
enigmatize	i'nigmətaiz
enisle	i'nail
enjambment	in'dʤæmmənt
enjoin	in'dʤɔin
enjoinment	in'dʤɔinmənt
enjoy	in'dʤɔi
enjoyable	in'dʤɔiəbl
enjoyableness	in'dʤɔiəblnis
enkindle	in'kindl
enlace	in'leis
enlacement	in'leismənt
enlarge	in'lɑ:dʤ
enlargement	in'lɑ:dʤmənt
enlarger	in'lɑ:dʤə
enlighten	in'laitn
enlightened	in'laitnd
enlightener	in'laitnə
enlightenment	in'laitnmənt
enlink	in'liɳk
enlist	in'list
enlistee	in'lis'ti:
enlistment	in'listmənt
enliven	in'laivn
enlivening	in'laivniɳ
enmesh	in'meʃ
enmity	'enmiti
ennead	'eniæd
enneagon	'eniəgən
enneagonal	,eni'ægənəl
enneagynous	,eni'ædʤinəs
enneandrous	,eni'ændrəs
enneapetalous	,eniə'petələs
enneasyllabic	,eniəsi'læbik
ennoble	i'noubl
ennoblement	i'noublmənt
ennui	Ỵ:'nwi:
ennuyé	Ỵ:'nwi:jei
enormity	i'nɔ:miti
enough	i'nʌf
enounce	i:'nauns
enouncement	i:'nausmənt
enourmous	i'nɔ:məs
enourmously	i'nɔ:məsli
enourmousness	i'nɔ:məsnis
enow	i'nau
enplane	im'plein
enquire	in'kwaiə
enquiry	in'kwaiəri
enrage	in'reidʤ
enrapture	in'ræptʃə
enravish	in'ræptʃə
enregiment	in'redʤimənt
enrich	in'ritʃ
enrichment	in'ritʃmənt
enrobe	in'roub
enrol	in'roul
enroll	in'roul
enrolment	in'roulmənt
ens	enz
ensa	'ensə
ensample	en'sæmpl
ensanguined	in'sæɳgwind
ensconce	in'skɔns
ensemble	Ỵ:n'sỴ:mbl
enshrine	in'ʃrain
enshrinement	in'ʃrainmənt
enshroud	in'ʃraud
ensiform	'ensifɔ:m
ensign	'ensain
ensigncy	'ensainsi
ensilage	'ensilidʤ
ensile	in'sail
ensillation	'ensilidʤ
enslave	in'sleiv
enslavement	in'sleivmənt
enslaver	in'sleivə
ensnare	in'sneə
ensnarl	in'snɑ:l
ensoul	in'soul
ensphere	in'sfiə
ensuant	in'sju:ənt
ensue	in'sju:
ensure	in'ʃuə
enswathe	in'sweið
enswathement	in'sweiðmənt
entablature	in'tæblətʃə
entail	in'teil
entailment	in'teilmənt
entangle	in'tæɳgl
entanglement	in'tæɳglmənt
entelechy	en'teliki
entellus	en'teləs
entente	Ỵ:n'tỴ:nt
enter	'entə
entera	'entərən
enterable	'entərəbl
enteric	en'terik
enteritidis	,entə'raitidis
enteritis	,entə'ratis
enterolite	'entərəlait
enteron	'entərən
enteroptosis	,entə'rɔptousis
enterorrhagia	,entərɔ'reidʤə
enterostomy	,entə'rɔstəmi
enterotomy	,entə'rɔtəmi
enterprise	'entəpraiz
enterpriser	'entəpraizə
enterprising	'entəpraiziɳ
entertain	,entə'tein
entertaining	,entə'teiniɳ
entertainment	,entə'teinmənt
enthral	in'θrɔ:l
enthrall	in'θrɔ:l
enthralling	in'θrɔ:liɳ
enthralment	in'θrɔ:lmənt
enthrone	in'θroun
enthronement	in'θrounmənt
enthronization	in'θrounmənt
enthuse	in'θju:z
enthusiasm	in'θju:ziæzm
enthusiast	in'θju:ziæst
enthusiastic	in'θju:zi'æstik
entia	enz
entice	in'tais
enticement	in'taismənt
entile	in'taitl
entire	in'taiə
entirely	in'taiəli
entireness	in'taiənis
entirety	in'taiəti
entitavive	'entitətiv
entity	'entiti
entomb	in'tu:m
entombment	in'tu:mmənt
entomic	in'tɔmik
entomological	,entəmə'lɔdʤikəl
entomologist	,entə'mɔlədʤist
entomologize	,entə'mɔlədʤaiz
entomology	,entə'mɔlədʤi
entomophagous	,entə'mɔfəgəs
entomophilous	,entə'mɔfiləs
entoparasite	,entə'pærəsait
entoptic	in'tɔptik
entourage	,ɔntu'rɑ:ʤ
entozoa	,entə'zouɔn
entozoon	,entə'zouɔn
entr'acte	ɔn'trækt
entrails	'entreilz
entrain	in'trein
entrammel	in'træməl
entrance	'entrəns
entrancement	in'trɑ:nsmənt
entrant	'entrənt
entrap	in'træp
entreat	in'tri:t
entreaty	in'tri:ti
entrechat	,Ỵ:ɳtrə'ʃɑ:
entrecote	,Ỵ:ɳtrə'kout
entremets	'ɔntrəmei
entrench	in'trentʃ
entrenchment	in'trentʃmənt
entrepreneur	,ɔntrəprə'nə:
entrepôt	'ɔntrəpou
entresol	'ɔntrəsɔl
entropion	en'troupiɔn
entropy	'entrəpi
entrust	in'trʌst
entry	'entri
entrée	'ɔntrei
entwine	in'twain
entwist	in'twist
enucleate	i'nju:klieit
enucleation	i,nju:kli'eiʃn
enumerate	i'nju:məreit
enumeration	i,nju:mə'reiʃn
enumerative	i,nju:mərətiv
enumerator	i,nju:məreitə
enunciate	i'nʌnsieit
enunciation	i,nʌnsi'eiʃn
enunciative	i'nʌnʃiətiv
enunciator	i'nʌnsieitə
enure	i'njuə
enuresis	,enju:'ri:sis
envelop	in'veləp
envelope	'enviloup
enveloping	'enveləpiɳ
envelopment	'enveləpmənt
envenom	in'venəm
enviable	'enviəbl
envious	'enviəs
environ	in'vaiərən
environment	in'vaiərənmənt
environs	'envirənz
envisage	in'vizidʤ
envisagement	in'vizidʤmənt
envision	in'viʤn
envoy	in'viʤn
envoyship	'envɔiʃip
envy	'envɔi
enwind	in'waind
enwomb	in'wu:m
enwound	in'waind
enwrap	in'ræp
enwreathe	in'ri:ð
enzyme	'enzaim
eocene	'i:ousi:n
eolith	'i:ouliθ
eolithic	,i:ou'liθik
eon	'i:ən
eosin	'i:ousin
epact	'i:pækt
epaulement	e'pɔ:lmənt
epaulet	'epoulet
epaulette	'epoulet
epeirogenesis	,epairə'dʤenisis
epenthesis	e'penθisis
epenthetic	,epen'θetik
epergne	i'pə:n
epexegetic	e,peksi'dʤetik
epexegetical	e,peksi'dʤetik
epexegexis	e,peksi'dʤi:sis
ephebe	e'fi:b
ephedrin	e'fedrin
ephelides	e'fi:lis
ephelis	e'fi:lis
ephemera	i'femərə
ephemerae	i'femərə
ephemeral	i'femərəl
ephemerality	i,femə'ræliti
ephemerides	i'feməris
ephemeris	i'feməris
ephemeron	i'femərɔn
ephemerous	i'femərəl
ephod	'i:fɔd
ephor	'efɔ:
epiblast	'epiblɑ:st
epiboly	e'pibɔli
epic	'epik
epical	'epik
epicarp	'epikɑ:p
epicedia	,epi'sentrəm
epicedium	,epi'sentrəm
epicene	'episi:n
epicentra	,epi'sentrəm
epicentre	'episentə
epicentrum	,epi'sentrəm
epicranial	,epi'kreinjəl
epicranium	,epi'kreinjəm
epicure	'epikjuə
epicurean	,epikjuə'ri:ən
epicureanism	,epikjuə'ri:ənizm
epicurism	'epikjuərizm
epicycle	'episaikl
epicyclic	,epi'saiklik
epicycloid	,epi'saiklɔid
epicycloidal	,epi'saiklɔidəl
epideictic	,epi'daiktik
epidemic	,epi'demik
epidemical	,epi'demikəl
epidemicity	,epidə'misiti
epidemiology	,epi,di:mi'ɔlədʤi
epidendrum	,epi'dendrəm
epidermal	,epi'də:məl
epidermic	,epi'də:məl
epidiascope	,epi'dɑiəskoup
epifocus	'episentə
epigastric	,epi'gæstrik
epigastrium	,epi'gæstriəm
epigene	'epidʤi:n
epigenesis	,epi'dʤenisis
epigenetic	,epidʤi'netik
epiglottis	,epi'glɔtis
epigram	'epigræm
epigrammatic	,epigrə'mætik
epigrammatize	,epi'græmətaiz
epigraph	'epigrɑ:f
epigraphic	,epi'græfik
epigraphist	e'pigrəfist
epigraphy	e'pigrəfi
epilation	,epi'leiʃn
epilepsy	'epilepsi
epileptic	,epi'leptik
epilobium	,epi'loubjəm
epilogist	e'pilədʤist
epilogue	'epilɔg
